id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1342,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFEE2010-2,food bank site,Feed My Sheep Fresh Market,324 N. Main Street,Slippery Rock,PA,16057,Beaver,NA,NA,NA,41.067309,-80.0600371,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1343,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIF2428-1,food bank site,Fifth Ave. Commons,1205 5th. Ave.,McKeesport,PA,15132,Allegheny,NA,NA,NA,40.3521765,-79.8525631,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1344,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIN2244-1,food bank site,Finello Pavilion,"3206 Niagara St., Apt. 607",Pittsburgh,PA,15213,Allegheny,NA,NA,NA,40.4340523,-79.9598943,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1345,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR1325-1,food bank site,"First Charities, Inc.",5401 Centre Avenue,Pittsburgh,PA,15232,Allegheny,NA,NA,NA,40.4566385,-79.9380702,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1346,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR2517-1,food bank site,First Christian Church,139 E. Main Street,Somerset,PA,15501,Somerset,NA,NA,NA,40.0087394,-79.0773042,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1347,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSOM2234-1,food bank site,First Christian Church NM (Somerset Church of the Brethren),606 Berlin Plank Rd.,Somerset,PA,15501,Somerset,NA,NA,NA,39.9949762,-79.0563281,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1348,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR2460-1,food bank site,First Presby of Duq.,719 Duquesne Blvd.,Duquesne,PA,15110,Allegheny,NA,NA,NA,40.3816524,-79.8567568,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1349,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR1131-1,food bank site,First Presbyterian Church,320 Sixth Avenue,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.4415223,-79.9991206,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1350,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR2127-1,food bank site,First Presbyterian Church - Beaver,1103 Eighth Avenue,Beaver Falls,PA,15010,Beaver,NA,NA,NA,40.7524752,-80.3213977,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1351,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR1131-3,food bank site,First Presbyterian Church - Fresh Market,320 Sixth Avenue,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.4415223,-79.9991206,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
