,file_name,id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1557,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1558,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2427-1,food bank site,Produce to People - Washington County,"2151 N Main St, Washington County Fairgrounds",Washington,PA,15301,Washington,,,,40.2069349,-80.2587864,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1558,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1559,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2174-2,food bank site,Produce to People - West Greene,"104 Tunnel Road, Jackson Township Municipal Building",Holbrook,PA,15341,Greene,,,,39.818403499999995,-80.33538929999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1559,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1560,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRJS2143-1,food bank site,R. J. Schill Manor,410 Short Street,Ellwood City,PA,16117,Lawrence,,,,40.8571357,-80.28801,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1560,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1561,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-1,food bank site,Rainbow Kitchen Food Pantry,135 East Ninth Avenue,Homestead,PA,15120,Allegheny,,,,40.40629860000001,-79.9107041,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1561,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1562,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-3,food bank site,Rainbow Kitchen Kid's Cafe,812 Oak Street,West Mifflin,PA,15122,Allegheny,,,,40.397648,-79.8795801,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1562,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1563,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-4,food bank site,Rainbow Kitchen Living Well,1000 Andrew Street,Munhall,PA,15120,Allegheny,,,,40.4072546,-79.90150909999998,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1563,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1564,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-6,food bank site,Rainbow Kitchen Loving Arms,441 East Eighth Avenue,Homestead,PA,15120,Allegheny,,,,40.4090553,-79.9066423,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1564,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1565,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-5,food bank site,Rainbow Kitchen Methouse,111 Caroline Avenue,Munhall,PA,15120,Allegheny,,,,40.3826,-79.904062,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1565,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1566,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-7,food bank site,Rainbow Kitchen Second Baptist,128 W. Second Avenue,Homestead,PA,15120,Allegheny,,,,40.4028717,-79.9096063,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1566,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1567,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAI1018-2,food bank site,Rainbow Kitchen Soup Kitchen,135 East Ninth Avenue,Homestead,PA,15120,Allegheny,,,,40.40629860000001,-79.9107041,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1567,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1568,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRAN1235-1,food bank site,Rankin Christian Center,230 Third Avenue,Rankin,PA,15104,Allegheny,,,,40.412213,-79.8798007,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1568,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1569,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PREB1366-1,food bank site,Rebos House,5424 2nd Avenue,Pittsburgh,PA,15207,Allegheny,,,,40.402109700000004,-79.9414171,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1569,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1570,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRES2071-1,food bank site,"Residential Care Services, Inc.","2400 Ardmore Boulevard, Suite 601",Bellevue,PA,15202,Allegheny,,,,40.4150949,-79.8475788,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1570,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1571,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PLC1404-18,food bank site,Riverside Apartments NM,125 West North St.,New Castle,PA,16101,Lawrence,,,,41.0008992,-80.3493816,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1571,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1572,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRIV1237-1,food bank site,Riverview Community Action Corporation,501 Second St,Oakmont,PA,15139,Allegheny,,,,40.517940700000004,-79.84632590000001,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1572,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1573,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRIV2492-1,food bank site,Riverview Manor,1500 Letort St.,Pittsburgh,PA,15212,Allegheny,,,,40.4799997,-80.0373501,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1573,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1574,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PRIV1014-1,food bank site,Riverview United Presbyterian Church,3505 Perrysville Avenue,Pittsburgh,PA,15214,Allegheny,,,,40.4840784,-80.0144702,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1574,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1575,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PROO2512-1,food bank site,Roots of Faith,800 Main St,Pittsburgh,PA,15215,Allegheny,,,,40.494797,-79.934361,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1575,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1576,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PROS2131-1,food bank site,Rosedale Food Pantry,5501 Third Street,Verona,PA,15147,Allegheny,,,,40.4827895,-79.8409312,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1576,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1577,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PROU1156-1,food bank site,Round Hill Food Pantry,2150 Round Hill Church Road,Elizabeth,PA,15037,Allegheny,,,,40.2430405,-79.8599459,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1577,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1578,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2328-1,food bank site,Salisbury Manor NM,70 Grant St.,Salisbury,PA,15558,Somerset,,,,39.7537481,-79.08158470000001,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1578,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1579,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2122-1,food bank site,Salvation Army Aliquippa Food Pantry,514 Franklin Avenue,Aliquippa,PA,15001,Beaver,,,,40.6155946,-80.2488182,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1579,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1580,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2122-2,food bank site,Salvation Army Aliquippa Soup Kitchen,514 Franklin Avenue,Aliquippa,PA,15001,Beaver,,,,40.6155946,-80.2488182,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
