"X","file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","SNAP","WIC","FMNP","fresh_produce","food_bucks","free_distribution","open_to_spec_group","data_issues","group_by_cluster","group_id","fuzzy_group_within_cluster","merged_record"
281,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","282","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","35894","convenience store","Rite Aid 10926","1222 Brownsville Road","Pittsburgh","PA",15210,"ALLEGHENY","","","",40.403358,-79.989929,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",281,NA,NA,"0"
282,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","283","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","35915","","Mckeesport Valero","231 Fifth Avenue","McKeesport","PA",15132,"ALLEGHENY","","","",40.351181,-79.865479,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",282,NA,NA,"0"
283,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","284","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36013","convenience store","7-ELEVEN 36140","1001 Western Avenue","Pittsburgh","PA",15233,"ALLEGHENY","","","",40.451183,-80.019157,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
284,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","285","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36086","","Carrick Pharmacy","2717 Brownsville Road","Pittsburgh","PA",15227,"ALLEGHENY","","","",40.383907,-79.977432,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",209,NA,NA,"0"
285,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","286","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36166","convenience store","Dollar General 19008","1215 Brighton Road","Pittsburgh","PA",15233,"ALLEGHENY","","","",40.454773,-80.014885,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
286,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","287","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36291","","Super Mart","1761 Pine Hollow Road","McKees Rocks","PA",15136,"ALLEGHENY","","","",40.475864,-80.100143,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
287,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","288","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36582","convenience store","7-eleven Store 36144A","95 Warrendale Bayne Road","Warrendale","PA",15086,"ALLEGHENY","","","",40.653961,-80.082291,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
288,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","289","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","36821","supermarket","GIANT EAGLE 6379","420 Waterfront Drive E","Homestead","PA",15120,"ALLEGHENY","","","",40.412422,-79.910011,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",288,NA,NA,"0"
289,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","290","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","38389","","Rimal Brothers Llc","4040 Saw Mill Run Boulevard","Pittsburgh","PA",15227,"ALLEGHENY","","","",40.367867,-79.983757,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",289,NA,NA,"0"
290,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","291","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","38797","convenience store","Speedway 2911","1200 Long Run Road","White Oak","PA",15131,"ALLEGHENY","","","",40.333549,-79.812927,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
291,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","292","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","39006","convenience store","Sheetz 677","3109 Washington Pike","Bridgeville","PA",15017,"ALLEGHENY","","","",40.348637,-80.111542,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
292,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","293","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","39021","","Mama Lena's Italian Deli","647 Broadway Avenue","McKees Rocks","PA",15136,"ALLEGHENY","","","",40.471928,-80.072762,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",292,NA,NA,"0"
293,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","294","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","39166","supermarket","Aldi 96","1160 Washington Avenue","Carnegie","PA",15106,"ALLEGHENY","","","",40.396835,-80.084763,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
294,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","295","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","39531","","Center Point","4061 Perrysville Avenue","Pittsburgh","PA",15214,"ALLEGHENY","","","",40.492413,-80.021538,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
295,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","296","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","39717","","Moon Township Farmer's Market","1000 Beaver Grade Road","Moon Township","PA",15108,"ALLEGHENY","","","",40.505177,-80.207275,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
296,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","297","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","40211","","Shop Mart","625 Ardmore Boulevard","Pittsburgh","PA",15221,"ALLEGHENY","","","",40.437172,-79.873596,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
297,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","298","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","40328","","Galaxy Supermarket Inc","801 Broadway Avenue","McKees Rocks","PA",15136,"ALLEGHENY","","","",40.472935,-80.074753,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",297,NA,NA,"0"
