file_name,idField,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude
food-data/Cleaned_data_files//cleaned_agh_wic.csv,64,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168198,,Sav-A-Lot,9 Duquesne Plaza,Duquesne,PA,15110,,,,,40.374697,-79.8469
food-data/Cleaned_data_files//cleaned_agh_wic.csv,65,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3166464,,Sav-A-Lot,355 Lincoln Highway,North Versailles,PA,15137,,,,,40.384491,-79.821281
food-data/Cleaned_data_files//cleaned_agh_wic.csv,67,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2691661,,Shop N Save,5001 Library Road,Bethel Park,PA,15102,,,,,40.341029,-80.024486
food-data/Cleaned_data_files//cleaned_agh_wic.csv,68,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,48814,,Shop N Save,1119 Brownsville Road,Brentwood,PA,15210,,,,,40.404833,-79.989725
food-data/Cleaned_data_files//cleaned_agh_wic.csv,69,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3015114,,Shop N Save,4647 Buttermilk Hollow Road,Buttermilk Hollow,PA,15122,,,,,40.361,-79.906539
food-data/Cleaned_data_files//cleaned_agh_wic.csv,70,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2739635,,Shop N Save,799 Castle Shannon Boulevard,Castle Shannon,PA,15234,,,,,40.369204,-80.028635
food-data/Cleaned_data_files//cleaned_agh_wic.csv,71,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2896675,,Shop N Save,1850 Centre Avenue,Centre Ave,PA,15219,,,,,40.44306,-79.98162
food-data/Cleaned_data_files//cleaned_agh_wic.csv,72,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,28396,,Shop N Save,2381 Mountain View Drive,Century Square,PA,15122,,,,,40.344918,-79.946601
food-data/Cleaned_data_files//cleaned_agh_wic.csv,73,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168274,,Shop N Save Village,1886 Homeville Road,Duquesne Village,PA,15122,,,,,40.365402,-79.873246
food-data/Cleaned_data_files//cleaned_agh_wic.csv,74,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168229,,Shop N Save,917 Butler Street,Glenshaw,PA,15223,,,,,40.511435,-79.949184
food-data/Cleaned_data_files//cleaned_agh_wic.csv,75,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3123920,,Shop N Save,4548 Broadway Boulevard,Haymaker Village,PA,15146,,,,,40.389155,-79.767195
food-data/Cleaned_data_files//cleaned_agh_wic.csv,76,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2791443,,Shop N Save,2100 Washington Pike,Heidelberg,PA,15106,,,,,40.38475,-80.09314
food-data/Cleaned_data_files//cleaned_agh_wic.csv,77,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168120,,Shop N Save,2362 Golden Mile Highway,Holiday Park,PA,15239,,,,,40.47533,-79.70729
food-data/Cleaned_data_files//cleaned_agh_wic.csv,78,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3158901,,Shop N Save,600 Market Place Drive,Imperial,PA,15071,,,,,40.440211,-80.241232
food-data/Cleaned_data_files//cleaned_agh_wic.csv,79,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2805720,,Shop N Save,450 Sixth Street,Lawrenceville,PA,15201,,,,,40.483229,-79.948619
