id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,1093082,NA,Kuhn's,700 Buelah Road,Turtle Creek,PA,15145,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2901656,NA,Las Palmas IGA,1616 Broadway Ave.,Beechview,PA,15216,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2804345,NA,Murray Avenue Kosher,1916 Murray Avenue,Squirrel Hill,PA,15217,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3175606,NA,Pittsburgh Commissary,79 Soldiers Lane,Moon Twp.,PA,15108,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3040453,NA,Save A Lot,25 Foster Avenue,Crafton,PA,15205,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168198,NA,Sav-A-Lot,9 Duquesne Plaza,Duquesne,PA,15110,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3166464,NA,Sav-A-Lot,355 Lincoln Highway,North Versailles,PA,15137,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168180,NA,Sav-A-Lot,725 Ross Ave.,Wilkinsburg,PA,15221,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2691661,NA,Shop N Save,5001 Library Road,Bethel Park,PA,15102,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,48814,NA,Shop N Save,1119 Brownsville Road,Brentwood,PA,15210,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3015114,NA,Shop N Save,4647 Buttermilk Hollow Road,Buttermilk Hollow,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2739635,NA,Shop N Save,799 Castle Shannon Blvd.,Castle Shannon,PA,15234,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2896675,NA,Shop N Save,1850 Centre Ave.,Centre Ave,PA,15219,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,28396,NA,Shop N Save,2381 Mountain View Drive,Century Square,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168274,NA,Shop N Save Village,1886 Homeville Road,Duquesne Village,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168229,NA,Shop N Save,917 Butler Street,Glenshaw,PA,15223,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3123920,NA,Shop N Save,4548 Broadway Boulevard,Haymaker Village,PA,15146,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2791443,NA,Shop N Save,2100 Washington Pike,Heidelberg,PA,15106,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168120,NA,Shop N Save,2362 Golden Mile Highway,Holiday Park,PA,15239,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3158901,NA,Shop N Save,600 Market Place Drive,Imperial,PA,15071,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2805720,NA,Shop N Save,450 56th Street,Lawrenceville,PA,15201,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2713949,NA,Shop N Save,815 Fifth Avenue,McKeesport,PA,15132,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2694562,NA,Shop N Save,125 Virginia Avenue,Mt. Washington,PA,15211,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2994319,NA,Shop N Save,2103 Noblestown Road,Noblestown,PA,15205,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2984266,NA,Shop N Save,4313 Walnut Street,Olympia,PA,15132,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3007247,NA,Shop N Save,1130 Perry Highway,Pines Plaza,PA,15237,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3054998,NA,Shop N Save,184 Rochester Road,Rochester Road,PA,15229,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2844118,NA,Shop N Save,908 Little Deer Creek Valley Rd.,Russelton,PA,15076,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2717654,NA,Shop N Save,1620 Babcock Blvd.,Shaler,PA,15209,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2745608,NA,Shop N Save,3335 William Penn Highway,Wilkins Twp.,PA,15235,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,51225,NA,Shur Save,4401 Liberty Avenue,Bloomfield,PA,15224,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2822613,NA,Target,6231 Penn Ave.,East Liberty,PA,15206,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2773357,NA,Target,2661 Freeport Road,Harmarville,PA,15238,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2840342,NA,Target,360 East Waterfront Dr.,Homestead,PA,15120,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2954381,NA,Target,4004 Monroeville Rd.,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2776154,NA,Target,600 Chauvet Drive,Robinson,PA,15275,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,91386,NA,Target,201 South Hills Village,South Hills Village,PA,15241,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3148465,NA,Wal Mart,2200 Washington Pike,Carnegie,PA,15106,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,91410,NA,Wal Mart,4015 Freeport Road,Natrona Heights,PA,15065,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2774136,NA,Wal Mart,250 Summit Park Drive,North Fayette,PA,15275,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3159029,NA,Wal Mart,100 Wal Mart Drive,North Versailles,PA,15137,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2890876,NA,Wal Mart,2010 Village Center Drive,Tarentum,PA,15084,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3153451,NA,Wal Mart,2351 Century Drive,West Mifflin,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
