id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,Dollar General 2643,500 Pine Hollow Rd. A,McKees Rocks,PA,15136,ALLEGHENY,NA,NA,NA,40.469936,-80.076576,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,KUHN'S MARKET,745 W. Ingomar Road,Ingomar,PA,15127,ALLEGHENY,NA,NA,NA,40.581478,-80.055283,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General 10277,1695 McFarland Rd,Pittsburgh,PA,15216,ALLEGHENY,NA,NA,NA,40.395996,-80.046486,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 1589,6375 Library Rd,South Park,PA,15129,ALLEGHENY,NA,NA,NA,40.289986,-80.027809,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 3571,103 W Allegheny Rd,Imperial,PA,15126,ALLEGHENY,NA,NA,NA,40.441845,-80.239136,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,LA GROCERY WEST INDIAN AMERICAN,511 Larimer Ave,Pittsburgh,PA,15206,ALLEGHENY,NA,NA,NA,40.465477,-79.914131,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 1925,210 9th St,Glassport,PA,15045,ALLEGHENY,NA,NA,NA,40.320995,-79.892296,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 2482,300 Market St,Elizabeth,PA,15037,ALLEGHENY,NA,NA,NA,40.272511,-79.88633,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR TREE 142,1759 S Braddock Ave,Pittsburgh,PA,15218,ALLEGHENY,NA,NA,NA,40.424519,-79.887764,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR TREE 258,12 Federal Dr,Pittsburgh,PA,15235,ALLEGHENY,NA,NA,NA,40.464207,-79.82666,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Getgo 3128,5381 Library Rd,Bethel Park,PA,15102,ALLEGHENY,NA,NA,NA,40.327724,-80.024467,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR TREE 2103,1030 W View Park Dr,Pittsburgh,PA,15229,ALLEGHENY,NA,NA,NA,40.517517,-80.037987,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR EAGLE DISCOUNTS,1552 Beechview Ave,Pittsburgh,PA,15216,ALLEGHENY,NA,NA,NA,40.411846,-80.024895,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
