id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,open_to_spec_group,data_issues,food_bucks,SNAP,WIC,FMNP,fresh_produce,free_distribution
NA,PA WIC,wicresults.json,Giant Eagle #68,NA,Giant Eagle #68,5990 University Blvd ,Coraopolis,PA,15108,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #74 Parkway Center,NA,Giant Eagle #74 Parkway Center,1165 McKinney Lane ,Pittsburgh,PA,15220,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #78 Penn Hills,NA,Giant Eagle #78 Penn Hills,230 RODI RD ,PITTSBURGH,PA,15235,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #91,NA,Giant Eagle #91,318-320 CEDAR AVE ,PITTSBURGH,PA,15212,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #93 Brentwood,NA,Giant Eagle #93 Brentwood,600 TOWNE SQUARE WAY ,PITTSBURGH,PA,15227,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Bethel Park #4,NA,Giant Eagle Bethel Park #4,5055 LIBRARY RD ,BETHEL PARK,PA,15102,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Braddock Hills #77,NA,Giant Eagle Braddock Hills #77,254 YOST BLVD ,PITTSBURGH,PA,15221,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Camp Horne #52,NA,Giant Eagle Camp Horne #52,132 BEN AVON HEIGHTS RD ,PITTSBURGH,PA,15237,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Caste Village #31,NA,Giant Eagle Caste Village #31,5260 GROVE RD ,PITTSBURGH,PA,15236,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Century III #73,NA,Giant Eagle Century III #73,9901 MOUNTAIN VIEW DR ,WEST MIFFLIN,PA,15122,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Crafton #646,NA,Giant Eagle Crafton #646,51 WALSH RD ,PITTSBURGH,PA,15205,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle East Liberty #17,NA,Giant Eagle East Liberty #17,6320 Shakespeare St ,Pittsburgh,PA,15206,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle Edgewood,NA,Giant Eagle Edgewood,1705 S BRADDOCK AVE ,PITTSBURGH,PA,15218,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
