id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
1570,Allegheny Cold Storage Plant,16,57th St,Pittsburgh,PA,15201,Pittsburgh-110,152,Refrigerated Warehouse,2,1/6/69,1/6/69,0,,58264,1,1,-79.94715837,40.48685791,16 57th St Pittsburgh PA 15201
1592,Eat'n Park Distribution Center,410,Vista Park Drive,Pittsburgh,PA,15205,Robinson,151,Warehouse,2,1/6/71,1/6/71,0,,21500,1,1,,,410 Vista Park Drive Pittsburgh PA 15205
1637,P J Dudt Bakery,1701,Duncan Ave,Allison Park,PA,15101,McCandless,117,Bakery,0,6/17/84,6/17/84,0,,2500,7,1,-79.99940092,40.56735917,1701 Duncan Ave Allison Park PA 15101
1646,H D Dudt Bakery,11010,Perry Hwy,Wexford,PA,15090,Pine,117,Bakery,1,6/17/84,6/17/84,0,,1200,1,1,-80.05512943,40.61832285,11010 Perry Hwy Wexford PA 15090
1656,Kribel's Bakery,546,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,172,Food Processor,1,1/1/47,1/1/47,0,,3000,7,1,-80.02258162,40.39524666,546 Brookline Blvd Pittsburgh PA 15226
1671,Bethel Bakery,5200,Brightwood  Road,Bethel Park,PA,15102,Bethel Park,117,Bakery,1,6/17/84,6/17/84,0,,2830,1,1,-80.03028228,40.32971431,5200 Brightwood  Road Bethel Park PA 15102
1676,Grahams Bakery,300,Mt Lebanon  Boulevard,Pittsburgh,PA,15234,Castle Shannon,117,Bakery,1,6/17/84,6/17/84,0,,2000,1,1,,,300 Mt Lebanon  Boulevard Pittsburgh PA 15234
1691,Nicholas Coffee & Tea Co,23,Market  Square,Pittsburgh,PA,15222,Pittsburgh-101,172,Food Processor,1,10/23/39,10/23/39,0,,2500,1,1,-80.00285348,40.44117414,23 Market  Square Pittsburgh PA 15222
1696,Rimini Bakery,522,Larimer Ave,Pittsburgh,PA,15206,Pittsburgh-112,172,Food Processor,1,1/1/60,1/1/60,0,,1000,7,1,-79.91345268,40.46544405,522 Larimer Ave Pittsburgh PA 15206
1712,Henry Grasso,716,Larimer Avenue,Pittsburgh,PA,15206,Pittsburgh-112,172,Food Processor,1,4/1/38,4/1/38,0,,1500,1,1,-79.91055226,40.46664796,716 Larimer Avenue Pittsburgh PA 15206
1723,Minerva Bakery,927,5th Ave,Mc Keesport,PA,15132,McKeesport,117,Bakery,1,1/1/56,1/1/56,0,,1430,1,1,-79.85471292,40.35195848,927 5th Ave Mc Keesport PA 15132
1735,Blue Bonnet Bakery,338,E 8th Ave,Homestead,PA,15120,Homestead,117,Bakery,1,1/1/54,1/1/54,0,,1737,1,1,-79.90757708,40.40844744,338 E 8th Ave Homestead PA 15120
