id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ1033-2,food bank site,St. James Ministries Center CSFP Only,723 Rebecca Avenue,Wilkinsburg,PA,15221,Allegheny,,,,40.4402041,-79.8852536,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ1033-1,food bank site,St. James Ministries Center Food Pantry,723 Rebecca Avenue,Wilkinsburg,PA,15221,Allegheny,,,,40.4402041,-79.8852536,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ1054-1,food bank site,St. John The Evangelist,4537 Chatsworth Avenue,Pittsburgh,PA,15207,Allegheny,,,,40.4150746,-79.9453705,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ1053-1,food bank site,St. John Vianney ,816 Climax Street,Pittsburgh,PA,15210,Allegheny,,,,40.4198174,-79.9927805,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ2456-1,food bank site,St. John's Lutheran Church ,104 Union St.,Salisbury,PA,15558,Somerset,,,,39.7545155,-79.0819156,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ1373-1,food bank site,St. Joseph House of Hospitality,1635 Bedford Avenue,Pittsburgh,PA,15219,Allegheny,,,,40.4450796,-79.9872591,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTJ2378-1,food bank site,St. Justin Plaza ,"120 Boggs Ave., C/O Management Office",Pittsburgh,PA,15211,Allegheny,,,,40.426909,-80.0068259,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTM1161-1,food bank site,St. Mark Parish,1125 Romine Avenue,Port Vue,PA,15133,Allegheny,,,,40.3433927,-79.8711395,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTM1055-1,food bank site,St. Mary Assumption,2510 Middle Road,Glenshaw,PA,15116,Allegheny,,,,40.554213,-79.9323715,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTM1056-1,food bank site,St. Michaels & All Angels,1308 Spring Garden Avenue,Pittsburgh,PA,15212,Allegheny,,,,40.4608848,-79.9882316,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTP1163-1,food bank site,St. Paul Cathedral,108 N. Dithridge Street,Pittsburgh,PA,15213,Allegheny,,,,40.4472108,-79.9505285,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTP2474-1,food bank site,St. Paul's Meals on Wheels Inc.,426 Center Avenue,Pitcairn,PA,15140,Allegheny,,,,40.4043185,-79.7788424,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTP1057-1,food bank site,St. Paul's Monastery,148 Monastery Avenue,Pittsburgh,PA,15203,Allegheny,,,,40.4229947,-79.9840294,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTP1240-1,food bank site,St. Philip,50 W. Crafton Avenue,Pittsburgh,PA,15205,Allegheny,,,,40.4373491,-80.0683418,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTR1164-1,food bank site,St. Raphael ,1118 Chislett Street,Pittsburgh,PA,15206,Allegheny,,,,40.477202,-79.92881,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTR1165-1,food bank site,St. Rosalia ,411 Greenfield Avenue,Pittsburgh,PA,15207,Allegheny,,,,40.4256832,-79.9431849,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTT1166-1,food bank site,St. Therese Parish,One Saint Therese Court,Munhall,PA,15120,Allegheny,,,,40.3878291,-79.9011261,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTT2253-1,food bank site,St. Therese Plaza (Senior Apartments),4 St. Therese Ct.,Munhall,PA,15120,Allegheny,,,,40.3878291,-79.9011261,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
