id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Fort LeBoeuf Middle School,school-garden,865 Cherry Street,NA,NA,Waterford,Pennsylvania,16441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.951436,-79.986455,NA,NA
NA,Greenock Elementary School,school-garden,1101 Greenock Buena Vista Road,NA,NA,McKeesport,Pennsylvania,15135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.311881,-79.8029,NA,NA
NA,Iroquois Elementary School,school-garden,4231 Morse Street,NA,NA,Erie,Pennsylvania,16511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.153881,-80.012094,NA,NA
NA,MAMS Community Garden,school-garden,800 Thurston Road,NA,NA,Meadville,Pennsylvania,16335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.633276,-80.124376,NA,NA
NA,Pittsburgh Arsenal,school-garden,220 40th Street,NA,NA,Pittsburgh,Pennsylvania,15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.467734,-79.962522,NA,NA
NA,Pittsburgh Langley,school-garden,2940 Sheraden Boulevard,NA,NA,Pittsburgh,Pennsylvania,15204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.453644,-80.054031,NA,NA
NA,Pittsburgh Linden School Garden,school-garden,725 S Linden Avenue,NA,NA,Pittsburgh,Pennsylvania,15208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.445514,-79.916283,NA,NA
NA,Pittsburgh Miller African Centered Academy,school-garden,2055 Bedford Avenue,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.447077,-79.981061,NA,NA
NA,Pittsburgh Montessori PreK 5,school-garden,201 S Graham Street,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.462489,-79.935596,NA,NA
NA,Pittsburgh Science and Technology,school-garden,107 Thackeray Avenue,NA,NA,Pittsburgh,Pennsylvania,15260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.443627,-79.957411,NA,NA
NA,Pittsburgh Urban Christian School,school-garden,809 Center Street,NA,NA,Pittsburgh,Pennsylvania,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.441483,-79.882937,NA,NA
NA,Propel Homestead,school-garden,129 E 10th Avenue,NA,NA,Homestead,Pennsylvania,15120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.405408,-79.910342,NA,NA
NA,SSA Farm at the Junior School,school-garden,400 S. Braddock Avenue,NA,NA,Pittsburgh,Pennsylvania,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444237,-79.897476,NA,NA
NA,SSA Farm at the Middle School,school-garden,500 Squaw Run Road East,NA,NA,Pittsburgh,Pennsylvania,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.52817,-79.880648,NA,NA
NA,SSA Farm at the Senior School,school-garden,423 Fox Chapel Road,NA,NA,Pittsburgh,Pennsylvania,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.52247,-79.882689,NA,NA
NA,St. Paul African Methodist Episcopal Church,school-garden,414 Orchard Place,NA,NA,Pittsburgh,Pennsylvania,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.41792,-79.995982,NA,NA
