id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,7-Elelven 165,NA,601 Penn Ave NA,NA,NA,Pittsburgh,PA,15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.442791,-80.002144,NA,NA
NA,TSP 224,NA,4010 Penn Ave NA,NA,NA,Pittsburgh,PA,15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.465183,-79.957565,NA,NA
NA,TSP 223,NA,6680 Frankstown Ave NA,NA,NA,Pittsburgh,PA,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.458702,-79.90831,NA,NA
NA,TSP 219,NA,3500 Forbes Ave NA,NA,NA,Pittsburgh,PA,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439941,-79.959129,NA,NA
NA,TSP 221,NA,100 E 7th Ave NA,NA,NA,Tarentum,PA,15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.601936,-79.756981,NA,NA
NA,Rite Aid 11916,NA,4770 McKnight Rd Ste A,NA,NA,Pittsburgh,PA,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.523308,-80.005333,NA,NA
NA,Turtle Creek Isaly's Diner,NA,107 Penn Plz NA,NA,NA,Turtle Creek,PA,15145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.405674,-79.826363,NA,NA
NA,Uni Mart,NA,298 Knoedler Rd NA,NA,NA,Pittsburgh,PA,15236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.342033,-79.981583,NA,NA
NA,Uni Mart,NA,1601 Lowrie St NA,NA,NA,Pittsburgh,PA,15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.462803,-79.983238,NA,NA
NA,Verona Shell,NA,4901 Allegheny River Blvd NA,NA,NA,Verona,PA,15147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.485207,-79.856926,NA,NA
NA,Dollar Tree 4287,NA,47 Walsh Rd NA,NA,NA,Pittsburgh,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439602,-80.07106,NA,NA
NA,Las Palmas,NA,700 Brookline Blvd NA,NA,NA,Pittsburgh,PA,15226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.394806,-80.021523,NA,NA
NA,Rite Aid 07825,NA,201 Devine Dr NA,NA,NA,Wexford,PA,15090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.617828,-80.090355,NA,NA
NA,Rite Aid 07832,NA,4155 Ewalt Rd NA,NA,NA,Gibsonia,PA,15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.625927,-79.942825,NA,NA
NA,Rite Aid 07843,NA,3700 Walnut St NA,NA,NA,McKeesport,PA,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.326763,-79.83992,NA,NA
NA,Rite Aid 10904,NA,4960 William Flynn Hwy Ste 10 NA,NA,NA,Allison Park,PA,15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.603886,-79.947044,NA,NA
NA,Rite Aid 10905,NA,1701 Duncan Ave NA,NA,NA,Allison Park,PA,15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.566422,-79.998596,NA,NA
NA,Rite Aid 10906,NA,5235 Library Rd NA,NA,NA,Bethel Park,PA,15102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.333031,-80.023766,NA,NA
NA,Rite Aid 10908,NA,5990 University Blvd Ste 30,NA,NA,Coraopolis,PA,15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.519936,-80.217804,NA,NA
NA,Rite Aid 10911,NA,2001 Lincoln Way NA,NA,NA,White Oak,PA,15131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.337482,-79.808701,NA,NA
NA,Rite Aid 10915,NA,109 Allegheny River Blvd NA,NA,NA,Oakmont,PA,15139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.512444,-79.843475,NA,NA
NA,Rite Aid 10916,NA,517 Beaver St NA,NA,NA,Sewickley,PA,15143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.539928,-80.179947,NA,NA
NA,Rite Aid 10917,NA,4011 William Penn Hwy NA,NA,NA,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.438446,-79.772324,NA,NA
NA,Rite Aid 10933,NA,1956 Greentree Rd NA,NA,NA,Pittsburgh,PA,15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.394588,-80.066292,NA,NA
NA,Rite Aid 10945,NA,3434 William Penn Hwy NA,NA,NA,Pittsburgh,PA,15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.430054,-79.81237,NA,NA
NA,Rite Aid 10947,NA,7345 Saltsburg Rd NA,NA,NA,Penn Hills,PA,15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.477882,-79.786003,NA,NA
NA,Rite Aid 10950,NA,568 Caste Vlg NA,NA,NA,Pittsburgh,PA,15236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.358257,-80.00309,NA,NA
NA,Rite Aid 10953,NA,1130 Perry Hwy Ste 35 NA,NA,NA,Pittsburgh,PA,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.547474,-80.036621,NA,NA
NA,Rite Aid 10954,NA,1125 Freeport Rd NA,NA,NA,Pittsburgh,PA,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.487637,-79.882141,NA,NA
NA,Rite Aid 10955,NA,1804 Golden Mile Hwy NA,NA,NA,Pittsburgh,PA,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.446487,-79.713905,NA,NA
NA,Manpsand Spice Corner,NA,2101 Greentree Rd Ste B119,NA,NA,Pittsburgh,PA,15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.391792,-80.069527,NA,NA
NA,union Mart,NA,3400 Versailles Ave NA,NA,NA,McKeesport,PA,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.344875,-79.837479,NA,NA
NA,Lotus Food,NA,1649 Penn Ave NA,NA,NA,Pittsburgh,PA,15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.449585,-79.98632,NA,NA
NA,CVS Pharmacy 2333,NA,5242 Clairton Blvd NA,NA,NA,Pittsburgh,PA,15236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.343586,-79.970428,NA,NA
NA,CVS Pharmacy 2447,NA,5190 Library Rd NA,NA,NA,Bethel Park,PA,15102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.334,-80.024139,NA,NA
NA,CVS Pharmacy 2449,NA,11240 Perry Hwy NA,NA,NA,Wexford,PA,15090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.621548,-80.054352,NA,NA
NA,CVS Pharmacy 3189,NA,510 Brookline Blvd NA,NA,NA,Pittsburgh,PA,15226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.396126,-80.023483,NA,NA
NA,CVS Pharmacy 4045,NA,4692 Old William Penn Hwy NA,NA,NA,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439358,-79.740822,NA,NA
NA,Bryant Street Market,NA,5901 Bryant Street NA,NA,NA,Pittsburgh,PA,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.475685,-79.919601,NA,NA
NA,CVS Pharmacy 5094,NA,328 Cochran Rd NA,NA,NA,Pittsburgh,PA,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.382473,-80.052292,NA,NA
NA,Curry Hollow Sunoco,NA,340 Curry Hollow Rd NA,NA,NA,Pittsburgh,PA,15236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.335934,-79.974571,NA,NA
NA,Wagners Market,NA,4978 Middle Rd NA,NA,NA,Gibsonia,PA,15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.60532,-79.926468,NA,NA
NA,The Medicine Shoppe Pharmacy,NA,5020 Centre Ave Fl 2,NA,NA,Pittsburgh,PA,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.454372,-79.943634,NA,NA
NA,Dollar General 12185,NA,3750 Saw Mill Run Blvd NA,NA,NA,Pittsburgh,PA,15227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.37122,-79.982178,NA,NA
